(3,0)
(5,0)
(7,0)
(9,0)
(11,1)
(13,2)
(15,3)
(17,3)
(19,4)
(21,5)
(23,6)
(25,8)
(27,9)
(29,10)
(31,12)
(33,13)
(35,15)
(37,16)
(39,15)
(41,16)
(43,18)
(45,20)
(47,23)
(49,23)
(51,25)
(53,23)
(55,25)
(57,26)
(59,28)
(61,31)
(63,28)
(65,29)
(67,31)
(69,33)
(71,35)
(73,37)
(75,39)
(77,41)
(79,43)
(81,52)
(83,56)
(85,50)
(87,52)
(89,55)
(91,57)
(93,76)
(95,62)
(97,67)
(99,68)
(101,108)
(103,73)
(105,76)
(107,79)
(109,87)
(111,87)
(113,88)
(115,91)
(117,94)
(119,108)
(121,100)
(123,124)
(125,107)
(127,115)
(129,120)
(131,117)
(133,146)
(135,144)
(137,157)
(139,152)
(141,157)
(143,172)
(145,166)
(147,173)
(149,177)
(151,180)
(153,184)
(155,190)
(157,194)
(159,200)
(161,205)
(163,210)
(165,214)
(167,238)
(169,224)
(171,262)
(173,235)
(175,240)
(177,245)
(179,258)
(181,261)
(183,262)
(185,273)
(187,275)
(189,280)
(191,285)
(193,293)
(195,299)
(197,304)
(199,371)
(201,374)
(203,324)
(205,330)
(207,394)
(209,405)
(211,414)
(213,417)
(215,425)
(217,433)
(219,374)
(221,467)
(223,457)
(225,465)
(227,488)
(229,600)
(231,624)
(233,624)
(235,620)
(237,639)
(239,528)
(241,535)
(243,464)
(245,471)
(247,477)
(249,486)
(251,496)
(253,506)
(255,728)
(257,744)
(259,672)
(261,762)
(263,772)
(265,650)
(267,653)
(269,565)
(271,575)
(273,583)
(275,589)
(277,700)
(279,709)
(281,720)
(283,731)
(285,743)
(287,640)
(289,650)
(291,659)
(293,667)
(295,677)
(297,686)
(299,696)
(301,705)
(303,719)
(305,726)
(307,735)
(309,742)
(311,761)
(313,762)
(315,785)
(317,783)
(319,790)
(321,703)
(323,707)
(325,710)
(327,830)
(329,820)
(331,853)
(333,768)
(335,853)
(337,884)
(339,896)
(341,902)
(343,928)
(345,925)
(347,935)
(349,948)
(351,1114)
(353,1139)
(355,1150)
(357,990)
(359,1000)
(361,1087)
(363,1469)
(365,1596)
(367,1460)
(369,1077)
(371,1269)
(373,1560)
(375,1591)
(377,1756)
(379,1518)
(381,1123)
(383,1348)
(385,1656)
(387,1360)
(389,1171)
(391,1395)
(393,1717)
(395,1745)
(397,1438)
(399,1234)
(401,1247)
(403,1522)
(405,1830)
(407,1874)
(409,1984)
(411,2095)
(413,1897)
(415,1568)
(417,1631)
(419,1985)
(421,2053)
(423,1981)
(425,1729)
(427,2058)
(429,2284)
(431,2000)
(433,2153)
(435,2056)
(437,2119)
(439,2139)
(441,1596)
(443,1516)
(445,1798)
(447,1815)
(449,1720)
(451,1600)
(453,2298)
(455,2328)
(457,2326)
(459,2379)
(461,2114)
(463,2124)
(465,1815)
(467,1779)
(469,1699)
(471,1715)
(473,2899)
(475,2503)
(477,2535)
(479,2545)
(481,2562)
(483,2673)
(485,2107)
(487,1833)
(489,1864)
(491,1875)
(493,2085)
(495,1910)
(497,1913)
(499,1925)
(501,1949)
(503,1962)
(505,1982)
(507,1749)
(509,1819)
(511,1871)
(513,2039)
(515,1982)
(517,2040)
(519,1959)
(521,2033)
(523,2187)
(525,2027)
(527,2181)
(529,2976)
(531,2187)
(533,2210)
(535,2754)
(537,2639)
(539,2798)
(541,2261)
(543,2410)
(545,2410)
(547,2315)
(549,2325)
(551,2341)
(553,2360)
(555,2381)
(557,2395)
(559,2410)
(561,2130)
(563,2693)
(565,2479)
(567,3699)
(569,3833)
(571,3636)
(573,3713)
(575,3692)
(577,3860)
(579,3966)
(581,3339)
(583,3508)
(585,3570)
(587,3139)
(589,3150)
(591,3552)
(593,2772)
(595,4807)
(597,3793)
(599,3624)
(601,5416)
(603,4029)
(605,4508)
(607,3783)
(609,4139)
(611,4086)
(613,3560)
(615,3446)
(617,3531)
(619,3061)
(621,6185)
(623,5874)
(625,4322)
(627,6166)
(629,4112)
(631,4658)
(633,4123)
(635,4331)
(637,4205)
(639,3883)
(641,3644)
(643,9336)
(645,5102)
(647,4202)
(649,5023)
(651,5487)
(653,5225)
(655,4980)
(657,4963)
(659,4166)
(661,3972)
(663,4296)
(665,6425)
(667,5144)
(669,5809)
(671,5609)
(673,5423)
(675,5347)
(677,4499)
(679,4721)
(681,4236)
(683,4604)
(685,4303)
(687,5501)
(689,4563)
(691,6627)
(693,5457)
(695,5007)
(697,4669)
(699,5441)
(701,5495)
(703,4372)
(705,6177)
(707,6606)
(709,5847)
(711,5136)
(713,6209)
(715,5057)
(717,6105)
(719,5192)
(721,4527)
(723,6486)
(725,6719)
(727,6438)
(729,5451)
(731,6081)
(733,5871)
(735,5169)
(737,5123)
(739,5116)
(741,6471)
(743,5602)
(745,6455)
(747,5591)
(749,9524)
(751,6018)
(753,4727)
(755,4395)
(757,3968)
(759,4407)
(761,6468)
(763,7308)
(765,6076)
(767,6843)
(769,5425)
(771,6541)
(773,5823)
(775,5172)
(777,8678)
(779,6423)
(781,7442)
(783,5791)
(785,7563)
(787,5692)
(789,7141)
(791,7115)
(793,10199)
(795,8232)
(797,7223)
(799,5538)
(801,5598)
(803,7029)
(805,6400)
(807,9821)
(809,6569)
(811,6664)
(813,6679)
(815,5763)
(817,9278)
(819,7324)
(821,7236)
(823,6315)
(825,6415)
(827,6491)
(829,5967)
(831,9634)
(833,6929)
(835,6395)
(837,6907)
(839,6525)
(841,7001)
(843,6493)
(845,9017)
(847,10166)
(849,8035)
(851,7495)
(853,5765)
(855,6276)
